action_name,count,mean,std
mutate_string,5676,1.0197322057787175,3.459413257600767
mutate_path_ids,681,0.5095447870778267,2.835226922883098
set_large_value,1183,0.3863060016906171,2.6674794907413446
flip_boolean_flags,796,0.37185929648241206,1.7683199745461422
mutate_query_values,619,0.27463651050080773,1.8430802069402707
mutate_template_injection,786,0.2684478371501272,2.1857551294256656
inject_sql_payload,958,0.24739039665970772,1.8760906896665048
remove_field,1715,0.2314868804664723,2.222865647134988
mutate_headers,892,0.2085201793721973,1.4979279540741686
set_empty_values,885,0.17966101694915254,1.6285191265668264
duplicate_field,1243,0.16733708769107,2.745101608096933
mutate_query_params,748,0.1657754010695187,2.302854247326032
fuzz_ids,664,0.14759036144578314,1.4150324943789407
type_flip,837,0.0908004778972521,2.194245181896792
mutate_content_type_vs_body,622,-0.017684887459807074,1.1759845063432284
mutate_method,493,-0.0973630831643002,3.7038012148387347
mutate_url_path,619,-0.19547657512116318,2.1343800530880066
