mutation_type,count,mean,std
path/query,3013,-0.11616329239960173,0.3204738190221868
header,1581,-0.17647058823529413,0.38299676592675025
protocol,2912,-0.17994505494505494,0.38420765777142846
semantic,5908,-0.18161814488828706,0.39809171744209815
structural,7477,-0.1903169720476127,0.39393797139203773
boundary,4447,-0.1915898358443895,0.39416728646759563
