action_name,count,mean,std
mutate_url_path,1510,-0.05033112582781457,0.2186997458125632
mutate_method,1457,-0.1571722717913521,0.3640880804551552
mutate_template_injection,1462,-0.16963064295485636,0.4152562855820457
mutate_headers,1581,-0.17647058823529413,0.38299676592675025
mutate_query_values,1495,-0.17725752508361203,0.38550264121112315
remove_field,1490,-0.17919463087248322,0.38364396967955705
mutate_query_params,1503,-0.1823020625415835,0.38622178458310114
fuzz_ids,1535,-0.18697068403908795,0.39001505476975457
inject_sql_payload,1491,-0.18846411804158283,0.39462970735410413
type_flip,1478,-0.18944519621109607,0.3971422501646886
duplicate_field,1497,-0.1903807615230461,0.3927326816064923
flip_boolean_flags,1518,-0.1903820816864295,0.394406823613974
mutate_string,1460,-0.1910958904109589,0.39676920621296186
set_large_value,1454,-0.19188445667125173,0.3956614650169078
mutate_path_ids,1458,-0.19615912208504802,0.3972265647931956
set_empty_values,1494,-0.20214190093708165,0.40173197197313815
mutate_content_type_vs_body,1455,-0.2027491408934708,0.40218540161723976
