mutation_type,count,mean,std
protocol,2018,-0.3379583746283449,0.5551009183031282
path/query,2071,-0.4191211974891357,0.5552571761633375
boundary,3157,-0.5821982895153627,0.5640024067217693
semantic,4131,-0.5872670055676592,0.5482285459715921
structural,5255,-0.6241674595623216,0.5457261592152636
header,1017,-0.6243854473942969,0.5546113423361047
