action_name,count,mean,std
mutate_method,1006,-0.12624254473161034,0.5017057439887735
mutate_url_path,996,-0.1465863453815261,0.455671566434181
mutate_path_ids,1063,-0.522107243650047,0.5734476956745144
mutate_query_values,1080,-0.5472222222222223,0.5576925740095023
mutate_content_type_vs_body,1012,-0.5484189723320159,0.5249722995430978
set_empty_values,1134,-0.5493827160493827,0.5735679568704006
fuzz_ids,1012,-0.5711462450592886,0.5659978630393536
mutate_string,1009,-0.5926660059464817,0.5433451361229035
inject_sql_payload,980,-0.6051020408163266,0.5537268013904126
mutate_template_injection,1062,-0.6064030131826742,0.5365759242096412
mutate_headers,1017,-0.6243854473942969,0.5546113423361047
type_flip,999,-0.6246246246246246,0.5484851010249292
remove_field,1051,-0.6460513796384396,0.533033647848399
flip_boolean_flags,1049,-0.6482364156339371,0.5307340780575217
set_large_value,1082,-0.6515711645101664,0.5454736198516427
duplicate_field,1022,-0.6594911937377691,0.5324926465497187
mutate_query_params,1075,-0.6716279069767442,0.5188124341848371
