action_name,count,mean,std
mutate_template_injection,1050,0.621904761904762,2.7734434809659767
flip_boolean_flags,1095,0.6164383561643836,3.1008202178440376
mutate_query_params,1097,0.5387420237010028,2.9796455883393467
type_flip,1097,0.5150410209662717,2.5889295872980567
mutate_string,1025,0.48292682926829267,3.177366124293023
mutate_path_ids,1102,0.45099818511796735,2.910854424472137
set_large_value,1113,0.44654088050314467,2.5934111974077436
duplicate_field,1149,0.3646649260226284,2.0740232989521292
remove_field,1102,0.3502722323049002,2.6821973244208115
fuzz_ids,1124,0.3469750889679715,2.2324171429995796
mutate_headers,1099,0.3375796178343949,2.4553866217893563
mutate_query_values,1035,0.3120772946859903,2.444391012396727
set_empty_values,1078,0.2949907235621521,2.861746703808172
inject_sql_payload,1147,0.23975588491717523,2.2491160046749425
mutate_content_type_vs_body,1088,0.0625,2.5775461683993166
mutate_url_path,1158,-0.15284974093264247,2.282916449602184
mutate_method,1073,-0.2805219012115564,3.0007093234405366
