mutation_type,count,mean,std
semantic,18933,-0.03813447419848941,0.1996281814253156
path/query,1689,-0.23860272350503256,0.4263555899900938
boundary,1172,-0.32593856655290104,0.4689245536784362
protocol,868,-0.3271889400921659,0.4694573925116967
structural,2125,-0.33458823529411763,0.4719573801668092
header,361,-0.3684210526315789,0.48304589153964794
