mutation_type,count,mean,std
protocol,1848,-0.19426406926406928,0.5502665589890364
path/query,1675,-0.3414925373134328,0.5566295722282836
semantic,6196,-0.3511943189154293,0.5482087879890422
structural,3842,-0.5455491931285789,0.6034114789809883
boundary,1614,-0.5978934324659232,0.5764723932075412
header,497,-0.7002012072434608,0.48428942767378697
