action_name,count,mean,std
mutate_template_injection,491,-0.014256619144602852,0.8438253563216763
mutate_url_path,687,-0.19068413391557495,0.451786829000899
mutate_method,668,-0.19161676646706588,0.4765459398860852
set_empty_values,681,-0.19530102790014683,0.7641074794368228
remove_field,1067,-0.19868791002811623,0.8217711635760991
mutate_string,3014,-0.25116124751161245,0.6110148733467531
flip_boolean_flags,396,-0.25252525252525254,0.8309632579540184
duplicate_field,789,-0.3320659062103929,0.7698298419122074
mutate_headers,448,-0.37723214285714285,0.7988355169405021
mutate_path_ids,369,-0.3902439024390244,0.5657932053493682
inject_sql_payload,563,-0.4049733570159858,0.6901261870796959
mutate_content_type_vs_body,272,-0.45588235294117646,0.5615956058272537
mutate_query_params,428,-0.4672897196261682,0.7379667872593004
fuzz_ids,331,-0.5015105740181269,0.6342479314307733
mutate_query_values,336,-0.5238095238095238,0.5672913484782578
set_large_value,534,-0.5786516853932584,0.6485611571080631
type_flip,448,-0.6004464285714286,0.5545821143063209
