mutation_type,count,mean,std
semantic,4404,-0.2652134423251589,0.6593603014463134
protocol,940,-0.2680851063829787,0.5164416561718158
structural,3381,-0.2886719905353446,0.7795948229305336
path/query,1115,-0.2968609865470852,0.5937579355628932
header,448,-0.37723214285714285,0.7988355169405021
boundary,1234,-0.5016207455429498,0.6255552333460879
