,value
total_requests,24307.0
unique_endpoints,5.0
unique_mutators,17.0
avg_reward,-0.12872834985806558
reward_std,0.33942081837778876
total_5xx,37.0
total_4xx,21104.0
total_2xx,3166.0
unique_status_codes,6.0
unique_paths_tested,16.0
unique_bugs_found,25.0
avg_episode_to_first_5xx,94.5
runs_with_5xx,10.0
