action_name,count,mean,std
mutate_string,15063,-0.027750116178716058,0.16746377047848926
mutate_template_injection,1166,-0.10291595197255575,0.3655204834631747
mutate_url_path,1621,-0.202961135101789,0.4038593039382356
mutate_content_type_vs_body,617,-0.23014586709886548,0.42510366740231464
set_large_value,646,-0.2693498452012384,0.4474442963641544
fuzz_ids,516,-0.27325581395348836,0.45039557636465627
mutate_path_ids,443,-0.3047404063205418,0.4608177983958375
flip_boolean_flags,413,-0.3583535108958838,0.485127549005817
duplicate_field,508,-0.3661417322834646,0.48222372351151377
mutate_query_values,385,-0.36883116883116884,0.4831159012348629
mutate_headers,413,-0.3728813559322034,0.4841574384534513
set_empty_values,426,-0.38028169014084506,0.4860267874418229
type_flip,417,-0.38848920863309355,0.48799222734154946
mutate_method,439,-0.39863325740318906,0.4901755811468038
remove_field,434,-0.42857142857142855,0.4954427750861055
inject_sql_payload,394,-0.4365482233502538,0.4965881188219321
mutate_query_params,406,-0.45073891625615764,0.4981813302802609
