mutation_type,count,mean,std
semantic,17008,-0.05009407337723424,0.22660673309167936
path/query,2027,-0.2525900345337938,0.435739209387427
boundary,1605,-0.2803738317757009,0.4520883763855544
protocol,1056,-0.3001893939393939,0.46061977835268814
header,413,-0.3728813559322034,0.4841574384534513
structural,2198,-0.38398544131028206,0.4873998560978706
